ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
90,"thinkpad t400 2765 intel core 2 duo t9400 2.53ghz 802.11a/b/g/draft-n wireless 14.1"" wxga 2gb ddr3 sdram 160gb,lenovo",,,,,,,,,,,,
91,"dell inspiron 1525 laptop,dell,1525",dell, intel celeron,2,intel,windows vista;,1 gb,intel gma x3100,80 gb,15.4,1280,800,5.9
92,"apple 13"" macbook notebook computer mb404ll/a (black),apple computer",apple, intel core 2 duo,2.4,intel,other,2 gb,,250 gb,13,,,6.8
93,"dell latitude e6400 laptop - windows professional,dell computers,e6400",dell,,,intel,windows 7;,2 gb,,300 gb,14.1,1280,800,8
94,"macbook pro 15 inch, 2.4ghz, 4gb ram, 200gb hd,apple computer,a1260",apple,,2.4,intel,mac os x,4 gb,,200 gb,15,,,9
95,"thinkpad t500 2055 intel core 2 duo t9400 2.53ghz 802.11a/b/g/draft-n wireless 15.4"" wsxga+ 2gb ddr3 sdram 80gb,lenovo,t500",lenovo,,2.26,intel,windows 7;,8 gb,,80 gb,15.4,,,8.5
96,"dell xps m1730 17-inch laptop (sapphire blue),dell computers,dell xps m1730",dell, intel core 2 duo,2.6,intel,windows vista,4 gb,geforce gt 9800m,220 gb,17,1920,1200,16
97,"hp mini 1000 notebook (intel atom processor n270 1.60ghz, 10.2"" led brightview infinity display, 1gb ddr2 ram, 60gb pata hard drive, windows xp home),hp,mini",hp, atom n270,1.6,intel,windows xp;,1 gb,intel gma 950,60 gb,10.2,,,3.1
98,"thinkpad x200s notebook,lenovo,7469-5gu",lenovo, intel core 2 duo,1.86,intel,windows_vista,4 gb,integrated_graphics,160 gb,12.1,,,5.2
99,"hp pavilion hdx 16t premium notebook,hp",hp, intel core 2 duo,2,intel,windows vista home premium,4 gb,nvidia_geforce_9,500 gb,16,,,
100,"dell latitude d610 notebook pc (intel pentium m 1.86ghz, windows xp professional, 512mb ddr2, 40gb hdd, dvd/cdrw combo),dell computers,d610",dell, intel pentium m,1.73,intel,microsoft windows xp professional,1 gb,ati mobility radeon x300,40 gb,14.1,1400,1050,6.5
101,"hp pavilion dv7-1240us 17.0-inch laptop,hp,dv7-1240us",hp, amd turion 64 x2,2.1,amd,windows vista;,4 gb,ati radeon hd 3200,320 gb,15.6,1440,900,10.6
102,"compaq presario cq60-220us 15.6-inch laptop,hp,cq60-220us",compaq, pentium,2.16,intel,windows vista;,2 gb,intel gma 4500m,250 gb,15.6,,,3
103,"dell latitude d610 pentium m 1.6ghz 1gb 40gb cdrw/dvd 14.1"" xp professional,dell computers",dell, pentium,1.6,intel,windows xp;,1 gb,intel graphics media accelerator 900,80 gb,14.1,,,
104,"apple macbook a1181 macbook4,1 mb402ll/a, 2.1ghz intel core 2 duo t8100, 120gb hard drive, 1gb ram memory (early 2008),apple,mb402ll/a",apple, core 2 duo,2.1,intel,apple mac os x v10.5 leopard,1 gb,gma,120 gb,13.3,1280,800,7
105,"apple macbook mb467ll/a 13.3"" laptop (2.4 ghz core 2 duo, 2 gb ram, 250 gb hdd, superdrive),apple computer",,,,,,,,,,,,
106,"apple ibook a1054 g4 1.07ghz 768mb 40gb dvd/cdrw wifi firewire,apple computer,ibook a1024",apple,,,,aos xv10.3,768 mb,radeon hd 9200,40 gb,12.1,,,5.9
107,"apple macbook mc240ll/a 13.3-inch laptop,apple computer,mc240ll/a",apple, intel core 2 duo,2.13,intel,apple mac os x 10.5 leopard,2 gb,nvidia geforce 9400m,160 gb,13.3,1280,800,5
108,"apple macbook pro mb990ll/a 13.3-inch laptop,apple computer,mb990ll/a",apple, intel core i5,2.26,intel,apple mac os x 10.6,2 gb,nvidia geforce 9400m,160 gb,13,1280,800,4.5
109,"dell latitude d830 core 2 duo 16-inch laptop, (2.2ghz processor, 2gb ram, 120gb hard drive, windows os),dell computers,latitude",dell, core 2 duo t7100,2.2,intel,windows xp professional,2 gb,intel gma x3100,80 gb,15.4,1280,800,6
110,"sony vaio vgn-p530h/q lifestyle pc - black,sony,vgn-p530h/q",sony, intel atom z520,1.33,intel atom,windows vista;,2 gb,intel graphics media accelerator 500,60 gb,8,1600,768,1.5
111,"dell latitude d410 pentium-m 1.8ghz 512mb ram 40gb hdd,dell computers,123881,56222",dell, intel pentium m,1.8,intel,windows xp professional edition,512 mb,intel gma 900,40 gb,,,,1.4
112,"asus eeepc900-bk090x 8.9-inch netbook,asus,eeepc900-bk090x",asus, celeron m 353,0.9,intel,windows xp home,1 gb,intel gma 900,16 gb,8.9,,,2.5
113,"apple macbook mb881ll/a 13.3-inch laptop (old version),apple computer,mb881ll/a",apple, intel core 2 duo,2,intel,apple mac os x 10.5,2 gb,nvidia geforce 9400m,120 gb,13,1280,800,5
114,"ibm thinkpad t42 laptop,ibm lenovo,thinkpad",,,,,,,,,,,,
115,"dell latitude d510 laptop 1.73ghz processor, 1gb ram, 40gb hard drive,dell computers",dell, pentium,1.6,intel,windows xp,1 gb,intel graphics media accelerator 900,40 gb,14,,,5.2
116,"hp touchsmart tx2 12.1-inch notebook,hewlett-packard,tx2-1020us",hp, amd turion 64 x2,2.2,amd,microsoft windows vista home premium,4 gb,radeon hd,320 gb,12.1,1280,800,4.3
