Title,Price,Currency,Sold by Newegg,Rating,Brand,Model,Color,CPU Type,CPU Speed,Number of Cores,Screen Size,Resolution,Touchscreen,Operating System,GPU/VPU,Graphic Type,SSD,HDD,Memory,Battery,Battery Life,Dimensions (W x D x H),Weight
"ThinkPad 14"" X1 Carbon Intel Core i7 4th Gen 4600U (2.10 GHz) Intel HD Graphics 4400 8 GB Memory 256 GB SSD Windows 7 Professional Upgradable to Windows 8.1 Pro 64-Bit Ultrabook -",1999.95,USD,no,1,ThinkPad,X1 Carbon,Black,Intel Core i7 4th Gen,4600U (2.10 GHz),Dual-core Processor,"14""",1600 x 900,No,Windows 7 Professional Upgradable to Windows 8.1 Pro 64-Bit,Intel HD Graphics 4400,Integrated Card,256 GB,,8GB DDR3L,8 Cell RapidCharge,Up to 8 hours,"13.03"" x 8.93"" x 0.71""",2.96 lbs.
"HP 255 G1 15.6"" LED Notebook - AMD - E-Series E1-2100 1GHz, 4GB DDR3, 320GB HDD, Windows 7 Professional - Charcoal -",599.95,USD,no,1,HP,F7V55UT#ABA,Charcoal,E-Series,1 GHz,,"15.6""",1366 x 768,,Windows 7 Professional,Radeon HD 8210,,,320 GB,4 GB,4-cell lithium ion,,,5.39 lb
"HP Laptop ProBook 450 G1 (G4S55UT#ABA) Intel Core i5 4th Gen 4200M (2.50 GHz) 4 GB Memory 128 GB SSD Intel HD Graphics 4600 15.6"" Windows 7 Professional 64-Bit -",999.95,USD,no,1,HP,450 G1 (G4S55UT#ABA),Black,Intel Core i5 4th Gen,4200M (2.50 GHz),Dual-core Processor,"15.6""",1366 x 768,No,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,Integrated Card,128 GB,,4 GB DDR3,HP 6-Cell 47 Wh Li-Ion Battery,,,
"Acer Laptop TravelMate P2 TMP255-M-6426 Intel Core i3 4th Gen 4010U (1.7 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 4400 15.6"" Windows 7 Professional 64-bit (Upgradeable to Windows 8 Pro) -",949.95,USD,no,5,Acer,TMP255-M-6426,Gray,Intel Core i3 4th Gen,4010U (1.7 GHz),,"15.6""",1366 x 768,,Windows 7 Professional 64-bit (Upgradeable to Windows 8 Pro),Intel HD Graphics 4400,Integrated Card,,500 GB,4 GB DDR3,4-cell 2500 mAh Lithium Ion (Li-Ion),4 Hour,"15""W x 10.1""D x 1""H",5.18 lbs.
"DELL 14"" E7440 Intel Core i5 4th Gen 4300U (1.90 GHz) Intel HD Graphics 4400 8 GB Memory 256 GB SSD Windows 8.1 Pro 64-Bit Ultrabook -",1099.95,USD,no,,DELL,E7440,Anodized Aluminum,Intel Core i5 4th Gen,4300U (1.90 GHz),Dual-core Processor,"14""",1366 x 768,No,Windows 8.1 Pro 64-Bit,Intel HD Graphics 4400,Integrated Card,256 GB,,8 GB DDR3,4-cell lithium ion,,,3.6lbs
Lenovo ThinkPad X1 Carbon Ultrabook - Core i5 3427U (1.80GHz) 4GB 256GB SSD Windows 7 Pro – Black (3444B9U) -,1899.95,USD,no,,ThinkPad,X1 Carbon (3444B9U),Black,Intel Core i5 3rd Gen,3427U (1.80 GHz),,"14""",1600 x 900,,Windows 7 Professional 64-Bit,Intel HD Graphics 4000,Integrated Card,256 GB,,4 GB DDR3,4-cell RapidCharge Battery,Up to 8.2 hour(s),"13.0"" x 8.9"" x 0.31""-0.74"" (W x D x H)",3.0lbs
"DELL 14"" 730-6964 Intel Core i5 4th Gen 4300U (1.90 GHz) Intel HD Graphics 4400 4 GB Memory 500 GB HDD Windows 7 Professional Ultrabook -",1499.95,USD,no,,DELL,730-6964,,Intel Core i5 4th Gen,4300U (1.90 GHz),,"14""",1366 x 768,,Win 7 Pro 64-bit w/ W8P License,Intel HD Graphics 4400,Integrated Card,,500 GB,4 GB DDR3,4-cell lithium ion,,,
"Acer Laptop Aspire E3-111-C5GL Intel Celeron N2830 (2.16 GHz) 2 GB Memory 320 GB HDD Intel HD Graphics 11.6"" Windows 8.1 -",429.95,USD,no,4,Acer,E3-111-C5GL,Cool Silver,Intel Celeron,N2830 (2.16 GHz),Dual-core Processor,"11.6""",1366 x 768,No,Windows 8.1,Intel HD Graphics,Integrated Card,,320 GB,2GB DDR3L,,Up to 5 hours,"11.46"" x 8.31"" x 0.83""",2.84 lbs.
"HP Pavilion 14-c050nr Intel Celeron 847(1.1GHz) 14"" 4GB Memory 16GB SSD Intel HD Graphics Chromebook -",499.95,USD,no,4,HP,14-c050nr,HP Imprint finish in sparkling black,Intel Celeron,847 (1.1 GHz),,"14.0""",1366 x 768,,Chrome OS,Intel HD Graphics,Integrated Card,16 GB,,4 GB DDR3,4-Cell 37WHr 2.55Ah lithium-ion battery,Up to 4 hours and 15 minutes,"13.66"" x 9.37"" x 0.81""-0.83""",3.96 lbs.
"Toshiba Satellite 2in1 W35DT-A3300 Tablet Laptop 13.3"" TOUCHSCREEN 4GB BT Win 8 -",649.95,USD,no,,TOSHIBA,PSD24U-003003,,,,,"13.3""",,,,,,,,,,,,
