ASIN,Title,Price,Customer Reviews,Best Sellers Rank,Date First Available,Brand Name,Series,Item model number,Color,Processor,Processor Brand,Processor Count,Screen Size,Screen Resolution,Max Screen Resolution,Hardware Platform,Operating System,Graphics Coprocessor,Card Description,Graphics Card Ram Size,Chipset Brand,RAM,Computer Memory Type,Hard Drive,Hard Drive Interface,Hard Drive Rotational Speed,Battery Type,Average Battery Life (in hours),Product Dimensions,Item Weight
B01DKTY2S8,"Acer Chromebook CB5-571 15.6-inch Full HD,2GB RAM,32GB SSD,Acer,CB5-571",,,"16,796","March 29, 2016",Acer,Chromebook 15,CB5-571,white,1.5 GHz Intel Celeron,Intel,2,15.6 inches,1920 x 1080,1920 x 1080,PC,Chrome OS,integrated_graphics,integrated,,intel,2 GB SDRAM DDR3,DDR3 SDRAM,32.00 SSD,USB,,,,15.1 x 9.6 x 1 inches,4.8 pounds
B01DKVYEOS,"Dell Inspiron 15 15.6"" Full HD 1920x1080 Touchscreen Laptop Latest Intel 6th Gen Skylake Core i5-6200U 16GB Memory 1TB Hard Drive RealSense 3D Camera USB 3.0 WLAN Bluetooth Backlit Keyboard Windows 10,Dell Computers",659.99,3.6,"11,049","March 29, 2016",Dell,Dell Inspiron,,,2.3 GHz Intel Core i5,Intel,,15.6 inches,1920x1080,1920x1080,PC,Windows 10,integrated_graphics,integrated,,intel,16 GB DDR3 SDRAM,DDR3 SDRAM,1 TB HDD 5400 rpm,Serial ATA,5400 RPM,,,14.1 x 10.2 x 0.9 inches,5.4 pounds
B01DKVYFY2,"Dell Inspiron 15 15.6 Full HD 1920x1080 Touchscreen Laptop Latest Intel Skylake Core i5-6200U 8GB Memory 250GB SSD Solid State Drive RealSense 3D Camera USB 3.0 Bluetooth Backlit Keyboard Windows 10,Dell Computers",640.99,5.0,"3,997","March 29, 2016",Dell,Dell Inspiron,,,2.3 GHz Intel Core i5,Intel,,15.6 inches,1920x1080,1920x1080,PC,Windows 10,integrated_graphics,integrated,,intel,8 GB DDR3 SDRAM,DDR3 SDRAM,250 GB SSD,Serial ATA,,,,14.1 x 10.2 x 0.9 inches,5.4 pounds
B01DKVYH2W,"Dell Inspiron 15.6"" Full HD 1920x1080 Touchscreen Laptop Latest Intel Skylake Core i5-6200U 16GB Memory 500GB SSD Solid State Drive RealSense 3D Camera USB 3.0 Bluetooth Backlit Keyboard Windows 10,Dell Computers",769.99,3.5,"7,630","March 29, 2016",Dell,Dell Inspiron 15,,,2.3 GHz Intel Core i5,Intel,,15.6 inches,1920x1080,1920x1080,PC,Windows 10,integrated_graphics,integrated,,intel,16 GB DDR3 SDRAM,DDR3 SDRAM,500 GB SSD,Serial ATA,,,,14.1 x 10.2 x 0.9 inches,5.4 pounds
B01DL09RVS,"HP Elitebook 8570p Notebook PC Intel Core i7 Quad AMD Radeon 7570M SSD,ChipsXP,8570p",,4.0,"14,553","March 29, 2016",HP,Elitebook,8570p,,2.6 GHz Intel Core i7,Intel,4,15.6 inches,,1600 x 900,PC,Windows 7 Professional,,dedicated,,amd,8 GB,"DDR3 SDRAM, SODIMM",128 GB SSD,"Serial ATA-600, Solid State",,,,1.4 x 9.9 x 14.7 inches,7 pounds
B01DL169UE,"Lenovo Thinkpad T420 Laptop - Intel i5 2520m 2.5GHz, 4GB DDR3,NEW 120GB SSD, 7 Pro 64-Bit, WiFi + Lenovo 4337 Docking Station! (Prepared by ReCircuit),Lenovo",,,"9,402","March 29, 2016",ReCircuit,Lenovo Thinkpad T420,,Black,2.5 GHz Core i5-2520M,Intel,1,14.1 inches,,2048 x 1536,PC,Windows 7,,,,,4 GB DDR3 SDRAM,DDR3 SDRAM,120 GB flash_memory_solid_state,Solid State,,,,13.4 x 9.2 x 1.1 inches,4.9 pounds
B01DL1PPGS,"Dell Inspiron 15-3558 Laptop (15.6-inch HD LED-Backlit Display, Intel Core i3-5005U, 4GB RAM, 500GB HDD, DVDRW, Bluetooth, Windows 10 Home),Dell Computers,JWJFW",,2.1,"10,650","March 29, 2016",Dell,Inspiron 15 3558,JWJFW,,2 GHz Intel Core i3,Intel,2,15.6 inches,1366x768,1366 X 768,PC,Windows 10 Home 64 bit,integrated_graphics,integrated,,intel,4 GB DDR3L,DDR3 SDRAM,500 GB HDD 5400 rpm,Serial ATA,5400 RPM,,8 hours,14.9 x 10.2 x 0.8 inches,4.8 pounds
B01DL81P9W,"Dell XPS13 2016 Newest Model 13.3"" Full HD IPS Infinity Borderless Display Laptop | Intel Core i5-6200U | 8GB RAM | 128GB SSD | HDMI | Backlit Keyboard | Windows 10,Dell Computers,XPS13",899.99,3.5,"5,257","March 29, 2016",Dell,XPS,XPS13,Silver,2.3 GHz Intel Core i5,Intel,2,13.3 inches,1920x1080,1920 x 1080,PC,Windows 10,integrated_graphics,integrated,,intel,8 GB SDRAM DDR3,DDR3 SDRAM,128 GB SSD,Solid State,,,11 hours,12 x 7.9 x 0.3 inches,2.9 pounds
B01DL8EDIC,"Dell Inspiron 7000 13.3-Inch 2-in-1 Convertible HD Touchscreen Laptop (Intel Core, i7-6500U, 8GB RAM, 256GB SSD, HDMI, Backlit Keyboard, Windows 10 with Stylus),Dell Computers,7000",769.00,3.6,"1,894","March 29, 2016",Dell,2-in-1,7000,Silver,2.5 GHz Intel Core i7,Intel,2,13.3 inches,1920x1080,1920 x 1080,PC,Windows 10,integrated_graphics,integrated,,intel,8 GB DDR3 SDRAM,DDR3 SDRAM,256 GB SSD,Solid State,,,8 hours,13 x 8.7 x 0.8 inches,3.4 pounds
B01DLATOJ8,"ASUS Transformer Book Flip Newest Model 11.6"" IPS HD 2-in-1 Convertible Touchscreen Ultrabook | Intel Dual Core | 2GB RAM | 32GB SSD | HDMI | Windows 10 | Includes 1-year Office 365,Asus,Flip",,3.4,"1,645","March 29, 2016",Asus,Flip,Flip,Dark Blue,1.6 GHz Intel Celeron,Intel,2,11.6 inches,1366x768,1366 x 768,PC,Windows 10,integrated_graphics,integrated,,intel,2 GB SDRAM DDR3,DDR3 SDRAM,32 GB emmc,Solid State,,,,11.7 x 0.7 x 7.9 inches,2.6 pounds
