Title,Rating,Editor Rating,MSRP,Type,Processor Name,Processor Speed,Operating System,RAM,Graphics Card,Storage Capacity (as Tested),Storage Type,Screen Size,Resolution,Screen Type,Weight,Battery Rundown,PCMark7,PCMark 8 - Work Conventional,"3-D BENCHMARK TESTS - 3DMark06 - 1,024 x 768 - Default",3-D BENCHMARK TESTS - 3DMark06 - Native – 0X/4X,3DMark 11 Entry - 3D Benchmark Tests,3DMark 11 Extreme - 3D Benchmark Tests,3DMark - Cloud Gate,3DMark - Fire Strike Extreme,"Lost Planet 2 (DX9) - Middle quality - 1,024 x 768- AA/AF=Off/Off",Lost Planet 2 (DX9) - High quality - Native - AA/AF= 0X/4X,"Crysis - Medium quality - 1,024 x 768 - AA/AF=Off/Off",Crysis - High quality - Native - AA/AF= 0X/4X,"Heaven - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Heaven - Max quality - Native - AA/AF=4X/4X:,Heaven 4.0 - Medium Quality - 1366 x 768 - Off,Heaven 4.0 - Ultra Quality - Native - 4X,"Aliens vs. Predator - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Aliens vs. Predator - Max quality - Native - AA/AF=4X/4X,Valley 1.0 - Medium Quality - 1366 x 768 - Off,Valley 1.0 - Ultra Quality - Native 4X,Handbrake Multimedia Tests,Handbrake 0.9.9,CineBench 11.5 Multimedia Tests,CineBench R15,MULTIMEDIA TESTS - PhotoShop CS5,Photoshop CS6 Multimedia Tests,MobileMark 2007- Performance score,MobileMark 2007 – Standard Battery Productivity Load (hrs:min)
Axiotron Modbook,3.00,good,2629.00," Media, Tablet", Intel Core 2 Duo T7500, 2.2 GHz, Mac OS X, 4 GB, Intel GMA X3100, 120 GB,, 13.3 inches,, Widescreen, 5.4 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 175, 2:55
Dell OptiPlex 9020 AIO,4.00,excellent,1968.99, Business, Intel Core i5-4570, 2.9 GHz, Microsoft Windows 8 Professional, 4 GB, Intel HD Graphics 4600, 500 GB, HDD, 23 inches, 1920 x 1080,,,, 3553,,,, 2125, 278,,,,,,, 17,,,,, 5,,, 0:40 min:sec,, 5.47,,, 4:24 min:sec,,
Sony VAIO VGN-CS190,3.50,good,1215.00," General Purpose, Media", Intel Core 2 Duo T5800, 2 GHz, Microsoft Windows Vista Home Premium, 4 GB, Intel GMA 4500MHD, 250 GB,, 14.1 inches,, Widescreen, 5.3 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 150, 3:39
HP Pavilion dv6-6135dx,3.50,good,680.00," General Purpose, Value", AMD A8-3500M, 1.5 GHz, Microsoft Windows 7 Home Premium, 6 GB, AMD Radeon HD 6620g, 640 GB,, 15.6 inches, 1366 x 768, Widescreen, 5.7 lb,,,, 7569, 6736,,,,, 36.7,, 40.3,,,,,,,,,, 3:32 min:sec,, 1.88,, 7:45 min:sec,, 135, 5:09
Samsung RV520-W01,4.00,excellent,650.00," Media, Value, Desktop Replacement, Gaming Ultraportable", Intel Core i3-2310M, 2.1 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel HD Graphics 3000, 640 GB,, 15.6 inches, 1366 x 768, Widescreen, 5.2 lb,,,, 3757, 3175,,,,,,,,,,,,,,,,, 3:22 min:sec,, 2.01,, 6:39 min:sec,, 221, 6:25
HP Pavilion a550e,3.50,good,2599.00,,,, Microsoft Windows XP Professional, 1 GB, AMD Radeon 9800, 160 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Storm Coridium,4.50,excellent,7779.00, Gaming, Intel Core i7-4930K, 3.4 GHz, Windows 8.1, 16 GB, AMD Radeon R9 295X2, 1250 GB, SSD, N/A inches,,,,, N/A,,,, 24328, 8586,,,,,,, 291,,,, 641, 302,,, 0:20 min:sec,, 13.88 min:sec,,, 4:46 min:sec,,
Dell Vostro 1000,,,499.00, Small Business, AMD Turion 64 X2 TL-52,," Microsoft Windows Vista Home Premium, Microsoft Windows Vista Ultimate, Microsoft Windows Vista Business, Microsoft Windows Vista Home Basic",, AMD Mobility Radeon XPRESS 1150, 2 GB,, 15.4 inches,, Widescreen, 6.26 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Xperia Z2 Tablet,3.50,good,499.99,,, 2.3 GHz, Android 4.4, 3 GB,, 16 GB, SSD, 10.1 inches,, IPS LCD, 15.49 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite P25-S607,4.00,excellent,2699.00, Media,, 3.2 GHz,,,,,, 17 inches,,, 9.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion p7-1074,3.00,good,599.99," Mainstream, Value", AMD Phenom II X4 960T, 3 GHz, Microsoft Windows 7 Home Premium, 8 GB, AMD Radeon HD 4200, 1500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,, 2:02 min:sec,, 3.52,, 4:59 min:sec,,,
HP TouchSmart TX2z,2.00,fair,1524.00," General Purpose, Media, Tablet", AMD Turion 64 X2 Ultra XM-86 Mobile, 2.4 GHz, Microsoft Windows Vista Home Premium, 4 GB, AMD Radeon HD 3200, 400 GB,, 12.1 inches,, Widescreen, 4.9 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 74, 4:20
Apple MacBook Air 13-inch,4.00,excellent,1300.00," General Purpose, Media, Ultraportable, Gaming Ultraportable", Intel Core 2 Duo L9400, 1.86 GHz, Mac OS X 10.6, 2 GB, Nvidia GeForce 320M, 128 GB,, 13.3 inches, 1440 x 900, Widescreen, 2.9 lb,,,, 5112, 4005,,,,,,,,,,,,,,,,, 4:28 min:sec,, 1.1,, 10:50 min:sec,, 200, 5:35
Gateway E-4500S,3.50,good,1163.00, Business, Intel Pentium D 820, 2.8 GHz, Microsoft Windows XP Professional, 512 MB, AMD Radeon x300, 80 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon Northwest Mach V FX-55,3.00,good,5935.00, Gaming,,, Microsoft Windows XP Professional, 1 GB, Nvidia GeForce 6800 Ultra,,, 20 inches, 1600 x 1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Studio One 19 (EO19-USE012CS),3.50,good,999.99," Mainstream, Multimedia, Business, All-in-one", Intel Pentium Dual-Core E5200, 2.5 GHz, Microsoft Windows Vista Home Premium, 4 GB, Nvidia GeForce 9200, 320 GB,, 18.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI GT80 Titan SLI,3.50,good,3399.99, Gaming, Intel Core i7-4720HQ, 2.6 GHz, Windows 8.1, 16 GB, Nvidia GeForce GTX 980M, 1.256 TB," HDD, SSD", 18.4 inches, 1920 x 1080, Widescreen, 9.9 lb, 2:30,, 3439,,,,, 24726, 7368,,,,,,, 173, 98,,, 97, 91,, 1:12 min:sec,, 667,, 3:15 min:sec,,
Acer Predator AG3-605-UR20,4.00,excellent,1499.99, Gaming, Intel Core i7-4770, 3.4 GHz, Microsoft Windows 8, 32 GB,, 3024 GB," HDD, SSD",,,,,, 4088,,,, 9510, 2135,,,,,,, 93,,,, 117, 37,,, 0:29 min:sec,, 8.04 min:sec,,, 2:58 min:sec,,
Acer Aspire M3800-U3802A,4.00,excellent,449.99," Mainstream, Value", Intel Pentium Dual-Core E5200, 2.5 GHz, Microsoft Windows Vista Home Premium, 4 GB, Intel GMA X4500HD, 640 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite Click 2 Pro P35W-B3226,3.00,good,1184.99," Tablet, Ultrabook",, 2.0 GHz, Microsoft Windows 8.1," 8 GB, 8 GB"," Intel HD Graphics 4400, Intel HD Graphics 4400", 128 GB, SSD, 13.3 inches, 1920 x 1080, IPS LCD, 4.5 lb, 6:48 hrs:min,, 2939,,,,, 4009, 280,,,,,,, 12, 3,,, 13, 3,, 3:00 min:sec,, 263,, 4:15 min:sec,,
HP Mini 210-1032NR ,3.50,good,349.99," General Purpose, Netbook", Intel Atom N450, 1.66 GHz," Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter Edition", 1 GB, Intel GMA 3150, 160 GB,, 10.1 inches,, Widescreen, 2.8 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8:35
HP Pavilion dm3-1030us,2.50,fair,649.98, Ultraportable, AMD Athlon Neo X2 L355, 1.6 GHz, Microsoft Windows 7 Home Premium, 4 GB, AMD Radeon HD 3200, 320 GB,, 13.3 inches,, Widescreen, 4.1 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre Chromebox Tiny Desktop,4.00,excellent,329.99, Value, Intel Core i3-5005U, 2 GHz, Google Chrome OS, 4 GB, Intel HD Graphics 5500, 16 GB, SSD, N/A inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Nexus 7 (2013),4.50,excellent,269.99,,, 1.5 GHz, Google Android 4.3, 2 GB,, 16 GB, SSD, 7 inches,, IPS LCD, 10.5 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung NB30,3.50,good,340.00," General Purpose, Ultraportable, Value, Netbook", Intel Atom N450, 1.66 GHz," Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter Edition", 1 GB, Intel GMA 3150, 160 GB,, 10.1 inches,, Widescreen, 2.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 61, 7:00
Asus W2Jb,4.00,excellent,2199.00," Gaming, Media, Small Business", Intel Core Duo T2600, 2.16 GHz," MS Windows XP Media Center, MS Windows XP Media Center", 2 GB, AMD Radeon x1600, 120 GB,, 17 inches,, Widescreen, 7.9 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maingear Epic Torq,4.00,excellent,5193.00, Gaming, Intel Core i7-4790k, 4.0 GHz, Windows 8.1, 16 GB, AMD Radeon R9 295X2, 3.5 TB," HDD, SSD",,,,,,, 4241,,,,, 33911, 8868,,,,,,, 249, 114,,, 149, 125,, 0:51 min:sec,, 956,, 2:36 min:sec,,
Dell Mini Nickelodeon Edition,3.00,good,328.00," General Purpose, Ultraportable, Value, Netbook", Intel Atom N270, 1.6 GHz," MS Windows XP Home, MS Windows XP Home", 1 GB, Intel GMA 950, 160 GB,, 10.1 inches,, Widescreen, 2.6 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 72, 2:55
Lenovo Yoga 2 11,3.00,good,499.99," Ultraportable, Value, Tablet", Intel Pentium N3520, 1.66 GHz, Windows 8.1, 4 GB, Intel HD Graphics, 500 GB, HDD, 11.6 inches, 1366 x 768, Widescreen, 2.78 lb, 6:53 hrs:min, 1851,,,, 458, 91,,,,,,, 5,,,, 5, 5,,, 2:05 min:sec,, 1.77,,, 16:08 min:sec,,
Dell Jumps Back in the Low-Price PC Game,3.00,good,599.00,,,, Microsoft Windows XP Home, 128 MB,, 20 GB,, 15 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus N53SM-DS71,3.50,good,980.00," General Purpose, Small Business, Desktop Replacement", Intel Core i7-2670QM, 2.2 GHz, Microsoft Windows 7 Home Premium, 8 GB, Nvidia GeForce GT 630M, 750 GB,, 15.6 inches, 1366 x 768, Widescreen, 6.3 lb,, 2461,, 10257, 7314,,,,, 42.4, 20.7,,,,,,,,,,, 1:30 min:sec,, 5.28,, 3:42 min:sec,, 345, 5:14
Gateway Performance 1500,3.00,good,999.00,,,,, 128 MB,, 20 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite L755-S5214,3.00,good,549.00," General Purpose, Value, Desktop Replacement", Intel Core i3-2310M, 2.1 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel HD Graphics 3000, 500 GB,, 15.6 inches, 1366 x 768, Widescreen, 5.23 lb,, 1952,, 4533, 3802,,,,, 17.7,, 10.72,,,,,,,,,, 2:25 min:sec,, 2.03,, 5:34 min:sec,, 238, 3:43
HP Elitebook 2560p,4.00,excellent,1299.00," Ultraportable, Business, Small Business", Intel Core i5-2520M, 2.5 GHz, Microsoft Windows 7 Professional, 4 GB, Intel HD Graphics 3000, 320 GB,, 12.5 inches, 1366 x 768, Widescreen, 4.3 lb,,,, 5141, 4309,,,,, 18.3,, 14.4,,,,,,,,,, 1:46 min:sec,, 2.8,, 4:00 min:sec,, 297, 7:40
IBM ThinkCentre A50,2.00,fair,999.00,,,,, 512 MB,, 40 GB,, 15 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocity Micro NoteMagix B50 Campus Edition,4.50,excellent,1500.00, General Purpose,, 1.7 GHz, MS Windows XP Home, 512 MB,, 60 GB,, 15 inches,,, 6.2 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire TimelineX AS5820T-5951,4.00,excellent,723.00," General Purpose, Media, Value", Intel Core i3 350M, 2.27 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA HD, 320 GB,, 15.6 inches,, Widescreen, 5.2 lb,,,,, 1603,,,,,,,,,,,,,,,,,,,,,,, 207, 7:37
Lenovo IdeaCentre Q150,4.00,excellent,399.00," Multimedia, Digital Entertainment System, Nettop", Intel Atom D510, 1.66 GHz, Microsoft Windows 7 Home Premium, 2 GB, Nvidia ION, 500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,, 12:31 min:sec,, 0.52,, 23:38 min:sec,,,
Acer Aspire TimelineX AS4820TG-7805,4.00,excellent,800.00," General Purpose, Value", Intel Core i5-460M, 2.53 GHz, Microsoft Windows 7 Home Premium, 4 GB, AMD Mobility Radeon HD 5650, 320 GB,, 14 inches,, Widescreen, 4.4 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Y510p,4.00,excellent,1599.00, Gaming, Intel Core i7-4702MQ, 2.2 GHz, Microsoft Windows 8, 16 GB, Nvidia GeForce GT 750M, 1024 GB," HDD, SSD", 15.6 inches, 1920 x 1080, Widescreen, 5.95 lb, 2:21 hrs:min, 4898,,,, 7421, 1831,,,,,,, 74,,,, 99, 38,,, 0:45 min:sec,, 6.3 min:sec,,, 4:43 min:sec,,
Gateway SX2800-01,4.00,excellent,499.99," Mainstream, Multimedia, Value", Intel Core 2 Quad Q8200, 2.33 GHz, Microsoft Windows Vista Home Premium, 4 GB, Intel GMA X4500HD, 640 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocity Micro NoteMagix S90 (Iss. 21 2004),4.00,excellent,3875.00, Media,, 3.4 GHz, MS Windows XP Professional, 1 GB, AMD Mobility Radeon 9700, 120 GB,, 17 inches,,, 10.9 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP G60-533cl,3.00,good,650.00, General Purpose, Intel Pentium Dual Core T4300, 2.1 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA 4500MHD, 320 GB,, 15.6 inches,, Widescreen, 6.2 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Studio XPS 8000 (SX8000-1479UWH),3.00,good,799.98," Mainstream, Multimedia", Intel Core i5-750, 2.66 GHz, Microsoft Windows 7 Home Premium, 6 GB, AMD Radeon HD 4350, 1000 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigor Force Recon T7n,3.00,good,3699.00, Gaming, Intel Core i7 920, 3.8 GHz, Microsoft Windows Vista Home Premium, 6 GB, Nvidia GeForce GTX 285 Triple SLI, 2032 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voodoo RAGE f:5 FX-55,3.00,good,5900.00, Gaming,,, Microsoft Windows XP Professional, 2 GB, Nvidia GeForce 6800 Ultra, 320 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Compaq 6000 Pro All-in-One Business PC,4.00,excellent,1109.00," Business, All-in-one", Intel Core 2 Duo E7600, 3.06 GHz, Microsoft Windows 7 Professional, 4 GB, Intel GMA X4500, 320 GB,, 21.5 inches, 1920 x 1080,,,,,,,,,,,,,,,,,,,,,,,, 2:48 min:sec,, 1.75,, 5:35 min:sec,,,
Asus N56VM,4.00,excellent,1199.00, Desktop Replacement, Intel Core i7-3720QM, 2.6 GHz, Microsoft Windows 7 Professional, 8 GB, Nvidia GeForce GT 630M, 750 GB,, 15.6 inches, 1920 x 1080, Widescreen, 5.9 lb,, 3644,, 11741, 5867,,,,, 47.1, 15.2, 63.9,,,,,,,,,, 1:11 min:sec,, 6.87,, 3:02 min:sec,, 376, 5:21
Gateway FX6840-01e ,3.50,good,999.99," Gaming, Mainstream", Intel Core i7-860, 2.8 GHz, Microsoft Windows 7 Home Premium, 8 GB, AMD Radeon HD 5570, 1000 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maingear Nomad 17 Ultimate,4.00,excellent,2824.00," Gaming, Media, Desktop Replacement", Intel Core i7-3840QM, 2.8 GHz, Microsoft Windows 7 Home Premium, 16 GB, Nvidia GeForce GTX 680M, 256 GB, SSD, 17.6 inches, 1920 x 1080, Widescreen, 8.1 lb, 1:06 hrs:min, 5328,,,, 10189, 2593,,,,,,, 139.4,,,, 243.6, 77.5,,, 0:35 min:sec,, 7.19 min:sec,,, 5:57 min:sec,,
Velocity Micro NoteMagix B50 Ultra,4.00,excellent,2615.00," General Purpose, Media",, 2 GHz, MS Windows XP Professional,,, 60 GB,, 15 inches,,, 6.3 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway 600XL,2.00,fair,2699.00,,, 2.4 GHz,,,, 60 GB,,,,, 8.6 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion dv1000t,4.00,excellent,1873.00," General Purpose, Media", Intel Pentium M T2500, 2 GHz, MS Windows XP Professional, 1 GB, Intel GMA 950, 120 GB,, 14.1 inches,, Widescreen, 5.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkStation D20 ,4.00,excellent,9344.00, Workstation, Intel Xeon X5687, 3.6 GHz, Microsoft Windows 7 Ultimate, 12 GB, Nvidia Quadro 4000, 450 GB,,,,,,, 3752,,,, 3906, 791,,,,,,,,,,,,,,, 1:19 min:sec,, 12.65,, 3:09 min:sec,,,
MSI Wind U123 (003US),3.00,good,385.00," General Purpose, Ultraportable, Value, Netbook", Intel Atom N280, 1.67 GHz," MS Windows XP Home, MS Windows XP Home", 1 GB, Intel GMA 950, 160 GB,, 10.2 inches,, Widescreen, 3.2 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 52, 8:41
Apple iMac 21.5-inch (Core i3),4.00,excellent,1199.00," Mainstream, Multimedia", Intel Core i3-540, 3.06 GHz, Mac OS X 10.6, 4 GB, AMD Radeon HD 4670, 500 GB,, 21.5 inches, 1920 x 1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM eServer xSeries 346,3.00,good,6262.00, Server,,," Windows Server 2003, Windows Server 2003", 1 GB,, 108 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alienware X51-R2,4.00,excellent,699.00, Gaming, Intel Core i3-4150, 3.5 GHz, Windows 8.1, 6 GB, Nvidia GeForce GTX 745, 1024 GB, HDD, N/A inches,,,,,, 3076,,,,, 9217, 1001,,,,,,, 40, 12,,, 50, 13,, 1:27 min:sec,, 346,, 3:25 min:sec,,
"Apple Xserve G5, Apple Xserve RAID",4.50,excellent,, Server," PowerPC G5, PowerPC G5",," Mac OS X 10.3, Mac OS X 10.3", 4 GB, AMD Radeon 7000, 80 GB,,, 1280 x 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 700m,3.50,good,1199.00," General Purpose, Media, Ultraportable, Business", Intel Pentium M 725, 1.6 GHz, MS Windows XP Home, 512 MB, Intel 82855 GME, 40 GB,, 12.1 inches,, Widescreen, 4.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinBook FusionPC,3.00,good,999.00,,,,, 512 MB,, 120 GB,, 15.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell XPS One,4.50,excellent,2399.00," Multimedia, All-in-one, Digital Entertainment System", Intel Core 2 Duo E6550, 2.33 GHz, Microsoft Windows Vista Home Premium, 2 GB, AMD Radeon HD 2400, 500 GB,, 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPC TransPort U1000,4.00,excellent,2026.00," Ultraportable, Business", Intel Pentium M 745, 1.8 GHz, MS Windows XP Professional, 768 MB, Intel 82855 GME, 40 GB,, 12.1 inches,, Standard, 3.4 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 1720,4.00,excellent,1994.00," Gaming, General Purpose, Media", Intel Core 2 Duo T7500, 2.2 GHz, Microsoft Windows Vista Home Premium, 2 GB, Nvidia GeForce 8600M GT, 320 GB,, 17 inches,, Widescreen, 8.8 lb,,,,, 2189,,,,,,,,,,,,,,,,,,,,,,,,
"Fujitsu Stylistic LT P-600, 3500",,,3699.00,,,,,,," 15 GB, 15 GB",, 8.5 inches,,," 2 lb, 2 lb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba All-in-One DX1210-ST4N22,,,929.00, All-in-one, Intel Core i5-2410M,, Microsoft Windows 7 Home Premium, 4 GB, Intel HD Graphics, 1000 GB,, 21.5 inches, 1920 x 1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperKore HK-Xtreme,2.50,fair,3806.00, Gaming, Intel Pentium 4 Extreme Edition, 3.73 GHz, Microsoft Windows XP Professional, 1 GB, Nvidia GeForce 6800, 348 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D630,3.50,good,," Business, Small Business", Intel Core 2 Duo T7300, 2 GHz, MS Windows XP Professional, 2 GB, Intel GMA X3100, 120 GB,, 14.1 inches,, Widescreen, 5.7 lb,,,,, 510,,,,,,,,,,,,,,,,,,,,,,,,
Asus Vivo Tab RT,3.50,good,599.00,,, 1.3 GHz, Microsoft Windows RT," 2 GB, 2 GB"," Nvidia Tegra 3, Nvidia Tegra 3", 32 GB, SSD, 10.1 inches,, Widescreen, 1.15 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Tab 10.1 (Verizon Wireless),3.50,good,529.00,,, 1 GHz, Google Android 3.0 or higher,,, 16 GB,, 10.1 inches,,, 1.3 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherrypal CherryPad,2.00,fair,188.00,,,, Google Android 2.3 or earlier,,, 1.35 GB,, 7 inches,,, 14.7 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG G Pad X 8.3 (Verizon Wireless),3.00,good,299.99,,, 1.5 GHz, Android 5.0, 2 GB,, 16 GB, SSD, 8.3 inches,, IPS LCD, 12 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire AS5750-6667,4.00,excellent,499.99," General Purpose, Desktop Replacement", Intel Core i3-2330M, 2.2 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel HD Graphics 3000, 640 GB,, 15.6 inches, 1366 x 768, Widescreen, 5.23 lb,, 2064,, 4655, 2542,,,,, 21.4, 8.5, 20.5,,,,,,,,,, 2:17 min:sec,, 2.11,, 5:23 min:sec,, 236, 6:16
Apple Power Mac G5 Quad ,4.50,excellent,9522.00," Multimedia, Workstation, Business", PowerPC G5, 2.5 GHz, Mac OS X 10.4, 4 GB, Nvidia Quadro FX 4500, 1024 GB,, 30 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getac 9213,3.50,good,1800.00," Media, Ultraportable, Business, Small Business", Intel Core 2 Duo SU9400, 1.4 GHz, Microsoft Windows Vista Business, 3 GB, Intel GMA 4500MHD, 160 GB,, 13.3 inches,, Widescreen, 3.6 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5:04
Sony VAIO VGN-TZ150N,3.50,good,2299.00," Media, Ultraportable, Business, Small Business", Intel Core 2 Duo U7500, 1.06 GHz, Microsoft Windows Vista Home Premium, 1 GB, Intel GMA 950, 100 GB,, 11.1 inches,, Widescreen, 2.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Qosmio X775-Q7170,3.50,good,1150.00," Gaming, Media, Desktop Replacement", Intel Core i5-2450M, 2.5 GHz, Microsoft Windows 7 Home Premium, 6 GB, Nvidia GeForce GTX 560M, 640 GB,, 17.3 inches, 1600 x 900, Widescreen, 7.4 lb,,,, 15576, 11174,,,,, 76.4, 33.2, 83.6,,,,,,,,,, 1:46 min:sec,, 2.7,, 3:56 min:sec,, 289, 3:07
Alcatel OneTouch Pixi 7 (Sprint),2.00,fair,240.00,,, 1.2 GHz, Android 5.0, 1 GB,, 4 GB, SSD, 7 inches,, IPS LCD, 10.05 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron E1705,4.00,excellent,2307.00," Gaming, General Purpose, Media", Intel Pentium M T2500, 2 GHz, MS Windows XP Media Center, 1 GB, Nvidia GeForce Go 7800GTX, 80 GB,, 17 inches,, Widescreen, 8.2 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Tablet S,3.00,good,499.99,,, 1 GHz, Google Android 3.0 or higher,,, 16 GB,, 9.4 inches,,, 1.3 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire M5-581T-6405,3.50,good,599.99, Ultrabook, Intel Core i5-3337U, 1.8 GHz, Microsoft Windows 8, 6 GB, Intel HD Graphics 4000, 520 GB," HDD, SSD", 15.6 inches, 1366 x 768, Widescreen, 5 lb,, 3241,,,, 1194, 215,,,,,,, 11.5,,,, 10.5, 6.5,,, 1:25 min:sec,, 2.51 min:sec,,, 7:13 min:sec,,
HP Pavilion dv7-4083cl,4.00,excellent,999.00," Gaming, General Purpose, Media", Intel Core i5-450M, 2.4 GHz, Microsoft Windows 7 Home Premium, 4 GB," AMD Mobility Radeon 4570, Intel GMA HD", 500 GB,, 17.3 inches,, Widescreen, 7 lb,,,,, 3351,,,,,,,,,,,,,,,,,,,,,,, 239, 4:45
Voodoo Ferrari F-Class F550,4.00,excellent,7995.00,,,,, 1 GB,, 240 GB,, 19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung RF510-S01US,3.50,good,750.00," General Purpose, Media, Desktop Replacement", Intel Core i5-460M, 2.53 GHz, Microsoft Windows 7 Home Premium, 4 GB, Nvidia GeForce GT 330M, 500 GB,, 15.6 inches, 1366 x 768, Widescreen, 5.5 lb,,,, 7954, 6739,,,,, 35.1, 7.1, 38.4,,,,,,,,,, 2:47 min:sec,, 2.3,, 5:00 min:sec,, 249, 3:28
HP Omen 15,4.00,excellent,2099.99, Gaming, Intel Core i7-4710HQ, 2.5 GHz, Windows 8.1, 16 GB, Nvidia GeForce GTX 860M, 512 GB, SSD, 15.6 inches, 1920 x 1080, Widescreen, 4.7 lb, 4:17,, 3400,,,,, 15651, 1840,,,,,,, 66, 22,,, 79, 25,, 1:16 min:sec,, 651,, 3:24 min:sec,,
Toshiba Satellite 5105,3.00,good,2599.00,,, 1.8 GHz,, 512 MB, Nvidia GeForce4 440 Go,,, 15 inches,,, 7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Series 7 Slate (700T1A),4.00,excellent,1349.99," Tablet, Consumer Ultra-Low Voltage", Intel Core i5-2467M, 1.6 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA HD 3000, 128 GB,, 11.6 inches, 1366 x 768, Widescreen, 1.9 lb,, 2352,, 1757, 1018,,,,, 6.7,, 7.6,,,,,,,,,, 5:28 min:sec,, 0.81,,,, 173, 0:00
