,id,ltable_id,rtable_id
2150,4290405,439928,357868
2151,4290408,229941,357868
2153,4293003,269788,250899
2154,4293214,694029,192033
2156,4299041,719986,252130
2161,4314470,34533,251479
2165,4329033,39676,150467
2166,4329037,308394,150467
2167,4329795,458958,504154
2175,4352495,418291,338534
2176,4360355,665414,956745
2181,4369557,638222,123835
2182,4373948,511998,466558
2185,4382595,484730,317417
2186,4385584,695639,904744
2200,4409235,470964,544787
2209,4422403,302667,449659
2210,4423198,599617,750874
2211,4423199,599641,750874
2229,4445941,540754,279658
2230,4445944,570977,279658
2235,4460025,458029,283008
2236,4484647,387565,838271
2238,4499723,315458,840670
2250,4520265,515512,739022
2254,4524525,430373,931917
2258,4552109,703326,713108
2259,4552110,315688,713108
2260,4552112,721851,713108
2261,4552114,347546,713108
2262,4552119,526543,713108
2277,4576617,528542,921208
2283,4589203,350039,434523
2286,4597782,591025,704329
2289,4608615,213605,593553
2291,4614423,443245,247314
2332,4648207,210937,49205
2336,4651284,727910,68671
2337,4655069,33516,510352
2338,4655597,583917,503466
2349,4670166,300004,274505
2350,4673350,586324,509218
2354,4691302,406238,439032
2355,4702733,208784,173462
2361,4713142,239514,51120
2364,4726163,285450,845194
2368,4740544,629419,960250
2380,4758044,721882,722654
2381,4762610,152514,726389
2388,4776793,390092,909747
2393,4779652,438862,318515
2396,4802039,507933,88945
2409,4805581,524663,848207
2427,4819175,590121,296517
2428,4828665,261363,141658
2431,4836078,327087,594553
2434,4848161,668902,287720
2435,4861250,574217,47280
2438,4870366,261311,557997
2444,4879659,258867,934540
2448,4905476,716830,441622
2453,4913121,681422,480976
2454,4914111,730263,574087
2457,4932462,37689,232930
2478,4957554,714354,329802
2480,4972866,328922,649403
2524,5003408,636559,779567
2534,5006952,457192,687934
2538,5029578,109871,526393
2540,5032768,188736,616521
2544,5041097,590849,225667
2590,5086164,534632,442079
2591,5086300,132412,340532
2594,5087968,694233,694560
2597,5098789,660977,188511
2598,5102438,303463,228279
2602,5120711,490961,760241
2606,5135953,13635,340485
2611,5159102,139324,338465
2641,5179912,300734,778373
2643,5181859,596146,691702
2644,5188597,343134,233358
2645,5190376,40841,329479
2647,5203403,285450,372730
2648,5204056,527322,916871
2649,5207302,476654,607889
2650,5220569,554058,543697
2660,5243562,436365,21307
2661,5244061,666589,558163
2662,5244081,451853,558163
2663,5244116,517782,558163
2665,5245276,406343,141419
2680,5282862,74568,395613
2682,5294318,190373,250401
2685,5307979,603945,729764
2687,5316119,665769,642753
2693,5325541,530358,702141
2699,5329238,499936,570172
2701,5348920,630352,936899
2702,5352061,616772,790027
2708,5363075,502393,597873
2732,5393667,316292,130355
2733,5393677,597129,130355
2739,5400281,262780,488200
2740,5400282,684403,488200
2741,5400284,729657,488200
2742,5402820,286241,632076
2748,5416041,617438,84964
2755,5439172,365292,175968
2756,5440711,556628,715908
2760,5468797,202540,52348
2765,5477645,152623,216142
2767,5496438,630146,686841
2768,5500004,722173,843700
2770,5505467,41297,254471
2771,5505496,217485,254471
2772,5505841,534242,663310
2774,5511904,568564,548746
2776,5514869,11000,427195
2781,5522627,239671,194003
2782,5532193,464793,58949
2783,5534730,448745,663279
2786,5547670,579519,387353
2787,5552595,710934,633964
2788,5552596,187644,633964
2789,5552598,723339,633964
2790,5552603,493016,633964
2797,5561296,654781,612866
2811,5590206,242884,389156
2817,5621145,629844,209152
2818,5624667,586874,305180
2819,5626233,569860,66127
2820,5627945,704641,134840
2822,5632114,646541,630420
2823,5636829,296325,140457
2824,5636830,296362,140457
2830,5652688,136584,361361
2836,5660741,492118,386029
2857,5712852,454188,706807
2858,5713516,22004,183572
2876,5718983,594331,293639
2878,5722813,303546,405926
2882,5736333,629897,372628
2885,5743820,172845,474098
2891,5754870,718067,881642
2896,5770737,365292,471469
2897,5775445,83333,901594
2903,5793415,78270,305099
2904,5800575,560803,223126
2905,5800579,47363,223126
2908,5813963,551631,233485
2909,5815971,690279,219395
2916,5820183,597644,263005
2918,5840768,301662,173393
2959,5891170,446505,350105
2963,5906439,245753,892622
2964,5914771,541167,614961
2989,5938335,334531,497781
2998,5959539,657397,490267
3002,5963048,506104,334941
3038,5972240,697338,854714
3039,5972242,305968,854714
3044,5988529,686865,90141
3045,5988534,320223,90141
3046,5993375,589768,361192
3050,6002353,77123,629862
3056,6011844,671820,522671
3057,6017885,534078,836838
3059,6025954,379216,119161
3060,6034825,286768,196887
3084,6089622,1765,480559
3095,6100990,399071,803436
3096,6106036,159713,334627
3097,6106117,406609,9979
3099,6111579,264366,549973
3101,6112494,151199,415919
3108,6121028,445449,13899
3109,6124514,421753,276366
3110,6124883,693427,470644
3111,6124926,645400,470644
3114,6137813,101829,30239
3116,6164728,78847,726420
3118,6185688,651819,33439
3122,6189673,643824,778580
3125,6204906,287426,953095
3126,6204907,287561,953095
3127,6204913,730508,953095
3128,6204914,730552,953095
3129,6208173,127890,127992
3131,6210462,234702,689343
3132,6215281,470650,815789
3136,6224991,206121,226833
3137,6227448,404472,514885
3138,6229207,465514,880710
3140,6235521,641351,503084
3145,6238402,193179,94630
3146,6238403,79398,94630
3153,6249589,393239,225524
3154,6253366,313394,945416
3155,6253367,313463,945416
3156,6253368,313481,945416
3157,6253412,512580,945416
3163,6267795,674285,482327
3169,6276353,493796,165274
3171,6292857,721049,885210
3173,6303331,680735,712335
3175,6304600,601188,856297
3176,6314871,583758,476258
3177,6316116,457182,819301
3180,6318646,467174,833615
3202,6382218,301460,144259
3208,6391274,619005,134108
3209,6397341,545947,37429
3211,6402613,973,391837
3212,6402624,298354,391837
3213,6402625,700159,391837
3214,6402630,577166,391837
3216,6410413,690643,66247
3238,6432616,236658,521803
3241,6447406,709423,509790
3257,6477041,657687,100097
3282,6489769,100886,806148
3283,6492328,726586,467162
3284,6492329,726898,467162
3285,6492334,472360,467162
3293,6524196,408596,825452
3294,6524539,123231,192745
3295,6526904,230105,437449
3299,6541132,620891,812003
3300,6542024,249877,549885
3301,6549804,386264,246606
3311,6559952,555107,231224
3317,6564644,239524,823892
3323,6565913,709519,674009
3324,6566349,575927,803711
3326,6572354,717459,683778
3339,6583029,428908,357554
3340,6583598,675201,883471
3341,6583600,683445,883471
3342,6583640,648418,883471
3343,6585645,437164,488214
3347,6592940,675624,638048
3348,6592972,724472,638048
3349,6604281,704976,560777
3350,6605093,582113,743300
3351,6605187,724883,377678
3353,6613282,662823,50347
3354,6621513,567236,705599
3356,6635488,339533,841527
3357,6637649,60542,888412
3359,6644016,140325,147877
3361,6650498,484390,428036
3362,6650501,258827,428036
3363,6664954,672578,434975
3365,6666434,402961,483371
3366,6666462,301464,483371
3368,6671041,712670,649819
3369,6671943,642051,308388
3374,6673226,668041,136162
3375,6673227,682049,136162
3377,6673576,546502,822031
3381,6696449,532826,608256
3384,6701992,258545,855653
3389,6709085,682818,649620
3390,6710265,214096,446776
3391,6713039,708576,782022
3397,6722522,370765,88991
3400,6738510,371149,694858
3401,6746443,514983,846656
3402,6748577,414138,791873
3404,6755080,220368,705549
3405,6761785,103368,347141
3406,6762859,234641,651053
3410,6768486,38759,496031
3415,6777204,460389,662100
3416,6777212,732736,662100
3423,6805199,239680,530322
3424,6809423,641612,430953
3427,6816240,567001,768321
3428,6816241,716009,768321
3432,6825589,213175,50019
3433,6826726,151088,233810
3434,6827201,114797,562963
3445,6843455,692129,932971
3447,6846441,678423,163379
3448,6846448,429177,163379
3449,6863920,548750,145720
3455,6872615,435731,351568
3457,6881532,674745,308642
3459,6900926,522087,462928
3463,6916426,658994,365768
3464,6916433,443882,365768
3465,6916434,708715,365768
3468,6925202,197909,209760
3490,7000741,302564,933339
3494,7008920,532329,769744
3503,7027283,304884,119024
3505,7033931,189495,56681
3507,7033989,651338,56681
3512,7037220,609006,683350
3513,7037222,639354,683350
3518,7065263,732223,40564
3519,7065265,603337,40564
3522,7091330,23319,26759
3528,7109581,167619,648875
3529,7116288,153664,45739
3530,7120007,714245,497153
3533,7144814,302875,957989
3540,7175720,115756,739770
3541,7175729,389286,739770
3544,7184090,642480,356175
3545,7184758,305320,648407
3548,7190743,25327,246276
3551,7211903,102997,263645
3552,7223569,394551,215439
3553,7226280,668058,646458
3554,7227529,298532,212191
3555,7231517,558653,663560
3557,7234921,664937,139049
3558,7235090,654939,139049
3560,7238216,733727,787445
3561,7246039,682727,185710
3564,7256054,652425,849456
3565,7258210,730259,248452
3574,7268396,576647,608805
3579,7289363,645076,557310
3585,7309809,724390,409741
3586,7309830,100625,409741
3594,7318776,381201,521084
3597,7329200,117425,482527
3604,7343305,500408,30457
3612,7356060,716611,134178
3620,7380464,618916,509582
3622,7400382,631541,549878
