id,movie_title,year,episode,song_title,artists
688979,the unauthorized saved by the bell story,2014.0,nan,baby got back,sir mix-a-lot
492372,jingle all the way,1996.0,nan,sleigh ride,mitchell parish+leroy anderson+darlene love  with the brian setzer orchestra
721753,when pornstars attack! 2,2014.0,nan,mean synthes,dmeanor
721755,when rock goes acoustic,2011.0,nan,wonderwall (live at maine road),oasis+noel gallagher
656220,the devil to pay!,1930.0,nan,happy days and lonely nights,fred fisher+billy rose
492382,jingle all the way,1996.0,nan,so they say its christmas,brian setzer+lou rawls  with the brian setzer orchestra
871,2 broke girls,2011.0,and the really petty cash (#1.9),second chance,peter bjorn+john
721772,when rock goes acoustic,2011.0,nan,mr tambourine man,bob dylan+the byrds
525180,love me or leave me,1955.0,nan,at sundown (love is calling me home),walter donaldson+doris day
394109,closure,1997.0,nan,at the heart of it all,aphex twin
721800,when rock goes acoustic,2011.0,nan,woncha come on home,joan armatrading
623499,sopa de cabra. el retorn,2011.0,nan,si et quedes amb mi,josep thió+sopa de cabra
295819,toast of the town,1948.0,(#17.19),till there was you,meredith willson+paul mccartney+john lennon+george harrison+ringo starr
721806,when rock goes acoustic,2011.0,nan,wake up little susie,boudleaux bryant+felice bryant+the everly brothers
721810,when rock goes acoustic,2011.0,nan,big mouth strikes again,johnny marr+morrissey+the smiths
721837,when skies are blue,2011.0,nan,dead before i die,tony nawrocki+james patrick gallagher
623534,sophie scholl - die letzten tage,2005.0,nan,door de nacht klinkt een lied,willi stanke und sein orchester
295855,toast of the town,1948.0,(#17.27),aint that just like me,billy guy+earl carroll+the searchers
328624,21 days under the sky,2016.0,nan,feather and knife,rocco deluca
328632,21 days under the sky,2016.0,nan,randolph county farewell,blackberry smoke
328635,21 days under the sky,2016.0,nan,cocaine  whiskey & heroin,brett detar
721866,when snooker ruled the world,2002.0,nan,everlasting love,buzz cason+mac gayden+joe johnson
492493,jivin in be-bop,1946.0,nan,one bass hit,ray brown+gil fuller+dizzy gillespie+his orchestra
361422,batman forever,1995.0,nan,nobody lives without love,eddi reader
721869,when snooker ruled the world,2002.0,nan,perfect,mark e. nevin+fairground attraction
721874,when snooker ruled the world,2002.0,nan,gangsters,jerry dammers+the specials
361428,batman forever,1995.0,nan,8,sunny day real estate
623588,sordid lives,2000.0,nan,better a painful ending  than an endless pain,sharyn leavitt+mark mcguinn+bobbie eakes+musicians: the doo wah riders
689125,the uninvited,2009.0,nan,the songs that we sing,jarvis cocker+jean-benoît dunckel+nicolas godin+neil hannon+charlotte gainsbourg+arrangement with warner music group film+tv licensing
656357,the dharma bum: portrait of a cynic in la,2014.0,nan,la negra tomasa,los jornaleros del norte
459751,grumpy cats worst christmas ever,2014.0,nan,i want a hippopotamus for christmas (hippo the hero),john rox+gayla peevey+arrangement with sony music licensing
656360,the dharma bum: portrait of a cynic in la,2014.0,nan,wait for the rain,david hess
132074,la malquerida,2014.0,doña rosa se entera que luisa está embarazada (#1.94),la malquerida,luis guzmán
295914,toast of the town,1948.0,(#19.6),how come you do me like you do?,gene austin+roy bergere+the mcguire sisters
721900,when we were kings,1996.0,nan,say it loud  im black and im proud,james brown+pee wee ellis
197617,rokka no yuusha,2015.0,the strongest man in the world (#1.1),cry for the truth,junpei fujita+michi
426996,el disco del año 09,2009.0,nan,te vas  me dejas,los chichos
721909,when we were kings,1996.0,nan,rumble in the jungle,wyclef jean+prakazrel michel+lauryn hill+benny andersson+fugees+q-tip+phife of a tribe called quest+björn ulvaeus+stig anderson+abba+permission of emi grove park music+inc./union songs ab/sweden music ab/polygram int. music publ. ltd.+chip taylor+permission of emi blackwood music+inc.
721914,when will i be loved,2004.0,nan,string quartet in f major  op. 59  no. 1 (razumovsky),ludwig van beethoven+the budapest string quartet+arrangement with sony music licensing
689156,the united states merchant marine cadet corps band,1944.0,nan,heave ho! my lads  heave ho!,jack lawrence
459780,grumpy old picture show,2008.0,nan,judas iscariot,rick wakeman
721928,when will i be loved,2004.0,nan,french suite no. 5 in g major  bwv 816: allemande,johann sebastian bach+glenn gould+arrangement with sony music licensing
656407,the diary of evelyn lau,1994.0,nan,waiting for the drugs to take hold,the secret vs
590876,red dead redemption,2010.0,nan,compass (red dead on arrival version),josé gonzález+jamie lidell
689183,the united states of leland,2003.0,nan,set it on fire,jeremy enigk
394271,club life,1986.0,nan,only the strong survive,rainey haynes
721956,when you come home,1948.0,nan,you can take it from me,percival mackey
689192,the united states of leland,2003.0,nan,gold in them hills,ron sexsmith+arrangement with natural energy lab
394281,club m2,2007.0,nan,boogie nights,drop the zero
656426,the diary of a teenage girl,2015.0,nan,wrap your troubles in dreams,harry barris+ted koehler+billy moll+nico
721964,when you comin back  red ryder?,1979.0,nan,are you sincere,wayne walker+andy williams
230446,switched at birth,2011.0,dogs playing poker (#1.5),kick in the teeth,papa roach
328752,22nd annual trumpet awards,2014.0,nan,i need you now,smokie norful
721969,when you comin back  red ryder?,1979.0,nan,no one knows better than you,alan gordon+jack nitzsche+tammy wynette+freddy fender
721971,when you give of yourself,2010.0,nan,chi il bel sogno di doretta,giacomo puccini
623674,sorority house massacre ii,1990.0,nan,invasion of the body snatchers,bob sheridan+robert kestler
492604,joanne lees: murder in the outback,2007.0,nan,come around,mental as anything
689219,the unloved,2009.0,nan,party,durutti column
721989,when youre in love,1937.0,nan,minnie the moocher,cab calloway
427077,el eco del miedo,2012.0,nan,andrea y la muneca,saverio rapezzi
328773,23 -- skidoo,1930.0,nan,a bird in a gilded cage,harry von tilzer+a drunken patron
394312,club tabitha,1998.0,nan,where violence is golden,the electric hellfire club
394316,clubbed,2008.0,nan,theres got to be rain in your life,dorothy norwood
394317,clubbed,2008.0,nan,walkin up a one way street,willie tee
721998,when yuba plays the rumba on the tuba,1933.0,nan,alexanders ragtime band,irving berlin+the mills brothers  at the beginning
722003,when a fellow needs a friend,1932.0,nan,happy days are here again,milton ager+jack yellen+the family at the end
230490,switched at birth,2011.0,human/need/desire (#2.6),my love wont wait,two gallants
722011,when a man loves a woman,1994.0,nan,mike & alices restaurant,don davis
230492,switched at birth,2011.0,i lock the door upon myself (#4.3),im ready to go (kung fu rock mix),nan
558173,no other one,1936.0,nan,no other one,vee lawnhurst+skinnay ennis  with hal kemp+his orchestra
722013,when a man loves a woman,1994.0,nan,my funny valentine,richard rodgers+lorenz hart
722018,when a man loves a woman,1994.0,nan,stewarts coat,rickie lee jones
656484,the dilemma,2011.0,nan,ready  aim  fire,tim myers+the unknown
558182,no place on earth,2012.0,nan,the cave knows (end credit song),fred hersch+rondi charleston
689255,the unsaid,2001.0,nan,hybrid sonic,simon carpentier
1130,20 to 1,2005.0,all time favourite tv themes (#9.6),the brady bunch,the peppermint trolley company+sherwood schwartz+frank de vol
656497,the dinner party,2010.0,nan,dont let go,david anthony affleck
623730,sorority wars,2009.0,nan,you have what i need,hawk nelson
722034,when in rome,2010.0,nan,kicking with you,jason mraz+arrangement with warner music group film+tv licensing
33909,bomb girls,2012.0,how you trust (#1.3),ill never be the same,gus kahn+matty malneck+frank signorelli+billie holiday
296069,toast of the town,1948.0,(#9.48),heaven only knows,jeff barry+ellie greenwich+don cornell
689286,the unspoken,2011.0,nan,at battles end,lisa forseth
