id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year
986,1693.0,690906.0,the x factor,"[2004, 2009]",the 'wow' factor,2011.0
987,6345.0,690906.0,the x factor,"[2004, 2008]",the 'wow' factor,2011.0
988,2764.0,690906.0,the x factor,"[2004, 2008]",the 'wow' factor,2011.0
991,4920.0,690906.0,the x factor,"[2004, 2008]",the 'wow' factor,2011.0
992,5471.0,690906.0,the x factor,"[2004, 2009]",the 'wow' factor,2011.0
997,1091.0,164725.0,damages,"[2007, 2008]",damages,2013.0
1009,3276.0,776498.0,the world is just a b movie,1971,the world is just a 'b' movie,1971.0
1033,5376.0,701528.0,the butcher,"[2013, 2005]",the butcher,2009.0
1041,7092.0,741504.0,the hunter,"[2011, 1984]",the mighty hunter,2010.0
1042,4288.0,128333.0,catfish,"[2010, 2005]",catfish,2015.0
1044,7146.0,527636.0,once upon a time,"[2011, 1957]",once upon a time in the east,2011.0
1045,6071.0,527636.0,once upon a time,2011,once upon a time in the east,2011.0
1046,3769.0,482795.0,a mi manera,"[2016, 1995]",morir a mi manera,1994.0
1052,3913.0,204000.0,dreamtime,"[2002, 2001]",dreamtime,2006.0
1055,6763.0,291326.0,hans christian andersen,"[1952, 1988]",hans christian andersen fairy tales,1952.0
1056,1412.0,776880.0,the writer,2004,the writer,2007.0
1057,7228.0,492922.0,my name is earl,"[2005, 2008]",my name is paul,2013.0
1064,1962.0,28191.0,a thousand words,2012,a thousand winds,2012.0
1069,1966.0,565555.0,porkys ii: the next day,"[1983, 1986]",porky's ii: the next day,1983.0
1070,2021.0,565555.0,porkys ii: the next day,"[1983, 1986]",porky's ii: the next day,1983.0
1081,447.0,173538.0,dead end drive-in,"[1986, 2003]",dead end drive,2007.0
1084,157.0,740133.0,the mindy project,"[2012, 2004]",the mars project,2008.0
1085,1281.0,740133.0,the mindy project,"[2012, 1976]",the mars project,2008.0
1086,4398.0,740133.0,the mindy project,"[2012, 2004]",the mars project,2008.0
1087,6454.0,740133.0,the mindy project,2012,the mars project,2008.0
1088,6140.0,740133.0,the mindy project,"[2012, 1986]",the mars project,2008.0
1089,3392.0,45050.0,alias,"[2001, 2002]",alias,2002.0
1090,5794.0,45050.0,alias,"[2001, 1996]",alias,2002.0
1093,2808.0,480402.0,the money shot,"[2005, 1991]",money shot,2002.0
1097,3670.0,604693.0,royal flash,1975,royal flash,1975.0
1101,799.0,52415.0,waking the dead,"[2000, 1997]",among the dead,1997.0
1103,4773.0,160555.0,cursed,"[2005, 2003]",cursed,2005.0
1105,2059.0,448918.0,made in chelsea,"[2011, 2004]",made in china,2006.0
1106,5154.0,448918.0,made in chelsea,"[2011, 2008]",made in china,2006.0
1107,5166.0,448918.0,made in chelsea,"[2011, 2007]",made in china,2006.0
1108,1589.0,448918.0,made in chelsea,"[2011, 2010]",made in china,2006.0
1109,5708.0,448918.0,made in chelsea,2011,made in china,2006.0
1110,5199.0,448918.0,made in chelsea,"[2011, 2008]",made in china,2006.0
1111,5764.0,448918.0,made in chelsea,"[2011, 2010]",made in china,2006.0
1112,4751.0,448918.0,made in chelsea,2011,made in china,2006.0
1113,1685.0,448918.0,made in chelsea,"[2011, 2009]",made in china,2006.0
1114,1701.0,448918.0,made in chelsea,2011,made in china,2006.0
